time_s,x_m,y_m,yaw_rad,cross_track_error_m,abs_cross_track_error_m,heading_error_rad,path_progress_m,endpoint_distance_m,linear_cmd_mps,angular_cmd_rps
0.8794,3.079128425041723,-0.6126344955037881,3.008033018923488,0.003075981865247991,0.00307598186524803,-0.02252208550424717,0.29487278364789027,2.705128965190634,0.3097222765679753,0.16111089372809873
0.9419,3.067121379536786,-0.6100744350881019,3.011044285354682,0.0023817791173156404,0.002381779117315618,-0.021085809113218,0.307142492877899,2.6928692523699707,0.30721335665636007,0.17114657337455966
1.0,3.051410499744249,-0.6082136793416699,3.0139481455557533,0.002915561978765677,0.0029155619787657634,-0.023989669314289138,0.3229541731067761,2.677060721715838,0.30696590920673644,0.17213636317305417
1.06,3.044175944634765,-0.612843085900144,3.0169347834205436,0.008584655387880929,0.008584655387880938,-0.026976307179079395,0.32940642640578144,2.6706462657641508,0.3039315412109831,0.18427383515606763
1.1207,3.0282615930446277,-0.6109780407411403,3.0200414271968867,0.009144933235394306,0.009144933235394306,-0.03008295095542257,0.34541989163705533,2.6546376848769064,0.3037038747054302,0.1851845011782792
1.1734,2.9801089795657085,-0.6166468833893022,3.023553957103628,0.02092858847332025,0.020928588473320325,-0.007824620129997848,0.3927171524531148,2.6080316486312185,0.3061469226255794,0.17541230949768236
1.2292,2.96486692443764,-0.6151223104205589,3.0275769128880423,0.020929360489743427,0.020929360489743434,0.03519015657229607,0.4090240815063206,2.5927460657096995,0.30460604007145564,0.1815758397141774
1.2799,2.9477747496906432,-0.6197175956948555,3.030576966431278,0.026856282670709563,0.02685628267070961,0.032190103029060335,0.42570133181309516,2.5766517650109453,0.3062427501278667,0.17502899948853298
1.3401,2.9415983438004982,-0.61888909241338,3.034581892000616,0.026516706776093444,0.026516706776093454,0.0281851774597226,0.4319237988173491,2.5704237718974925,0.3071108161102175,0.17155673555912979
1.3997,2.9232736929467356,-0.6184722502133817,3.038782568793489,0.027491815150903768,0.027491815150903796,0.0837784286229355,0.4518702707266995,2.552288788374857,0.3087714387041834,0.16491424518326647
1.4598,2.9087455207571065,-0.6172512243193574,3.045992611014724,0.026547488867366995,0.026547488867367016,0.07656838640170038,0.4664190486573579,2.5377625716895094,0.3104909611662084,0.15803615533516632
1.5204,2.8987642326475926,-0.6166979878442311,3.053280245161071,0.026184301557703057,0.026184301557703075,0.06928075225535357,0.47640905756128943,2.5278312862112164,0.31170392592520524,0.15318429629917898
1.5715,2.8513255495628607,-0.615611169302525,3.0589827848265605,0.024524534371488358,0.02452453437148833,0.12507957263968386,0.5254140002794025,2.4809021674964704,0.3145299659569092,0.14188013617236322
1.6245,2.8362289551579853,-0.6147273266715075,3.063702413814103,0.023000533529282687,0.023000533529282684,0.12035994365214121,0.5404594567980554,2.4658790056581306,0.3153436169962139,0.13862553201514455
1.6796,2.814127425435347,-0.6097602917779605,3.06948062630049,0.016521559679834406,0.01652155967983439,0.1665582897415432,0.5632041256442831,2.4432520900280967,0.3155740871358655,0.1377036514565378
1.74,2.799366396536945,-0.6091112172340181,3.0753457036694556,0.014483325574919152,0.014483325574919144,0.16069321237257775,0.5778381569971472,2.4286004920878526,0.32726063156285334,0.09095747374858662
1.7998,2.7843555627662155,-0.6045640349569266,3.081447167829939,0.008540798489041903,0.008540798489041877,0.15459174821209423,0.5923532652980587,2.413030163609513,0.3250509855041643,0.09979605798334289
1.8603,2.76854178616268,-0.6040774405656164,3.087781554788691,0.0064024437927817125,0.006402443792781761,0.18144500848595005,0.60826587527137,2.397369826912307,0.32717447318444254,0.09130210726222973
